sales,order_date,product,customer,country,region,employee,category,weekday,month,quarter,semester
354.54,2000-01-01,Yoga Mat,Future Gadgets,India,Asia,Patricia Brown,Fitness Equipment,Saturday,January,Q1,1st sem.
335.87,2000-01-01,Notebook Professional,Tech Pioneers,Kenya,África,Joseph Taylor,Computers,Saturday,January,Q1,1st sem.
889.16,2000-01-01,Fitness Tracker,Nebula Innovations,Germany,Europa,Joseph Taylor,Wearables,Saturday,January,Q1,1st sem.
963.16,2000-01-01,Men's Sneakers,Infinity Solutions,Brazil,América,Linda Miller,Footwear,Saturday,January,Q1,1st sem.
491.17,2000-01-01,Smart Watch,Pioneer Tech,China,Asia,William Wilson,Wearables,Saturday,January,Q1,1st sem.
35.64,2000-01-01,Tablet Alpha,Reboot IT,Germany,Europa,Joseph Taylor,Mobile Devices,Saturday,January,Q1,1st sem.
948.78,2000-01-01,Desktop Alpha,NextGen Innovators,USA,América,Robert Johnson,Computers,Saturday,January,Q1,1st sem.
587.68,2000-01-01,Streaming Media Player,Future Gadgets,Brazil,América,Linda Miller,Home Electronics,Saturday,January,Q1,1st sem.
846.52,2000-01-01,Desktop Beta,Ultra Tech,Egypt,África,John Smith,Computers,Saturday,January,Q1,1st sem.
24.54,2000-01-01,Sculpture,Pioneer Tech,Germany,Europa,William Wilson,Art,Saturday,January,Q1,1st sem.
309.57,2000-01-01,Dumbbell Set,Elite Tech,India,Asia,Laura Adams,Fitness Equipment,Saturday,January,Q1,1st sem.
248.3,2000-01-01,Smartphone Alpha,Pinnacle Tech,India,Asia,Patricia Brown,Mobile Devices,Saturday,January,Q1,1st sem.
823.91,2000-01-01,Women's Sandals,Tech Pioneers,France,Europa,Laura Adams,Footwear,Saturday,January,Q1,1st sem.
598.65,2000-01-01,Virtual Reality Headset,SysTech Ltd.,Kenya,África,Linda Miller,Electronics,Saturday,January,Q1,1st sem.
752.59,2000-01-01,Wireless Mouse,Nebula Innovations,France,Europa,Sarah Moore,Computer Accessories,Saturday,January,Q1,1st sem.
425.86,2000-01-01,Smartphone Beta,Tech Trends,South Korea,Asia,Robert Johnson,Mobile Devices,Saturday,January,Q1,1st sem.
696.9,2000-01-01,Dumbbell Set,SysTech Ltd.,USA,América,Linda Miller,Fitness Equipment,Saturday,January,Q1,1st sem.
176.06,2000-01-01,Electric Guitar,Ultra Tech,Japan,Asia,Patricia Brown,Musical Instruments,Saturday,January,Q1,1st sem.
104.45,2000-01-01,Notebook Basic,Future Gadgets,Germany,Europa,Linda Miller,Computers,Saturday,January,Q1,1st sem.
310.46,2000-01-02,Wristwatch,Ultra Tech,Brazil,América,William Wilson,Fashion Accessories,Sunday,January,Q1,1st sem.
755.26,2000-01-02,Wall Art,Ultra Tech,China,Asia,William Wilson,Home Decor,Sunday,January,Q1,1st sem.
465.47,2000-01-02,Wall Art,Future Gadgets,Nigeria,África,John Smith,Home Decor,Sunday,January,Q1,1st sem.
346.4,2000-01-02,Fitness Tracker,Ultra Tech,South Africa,África,Joseph Taylor,Wearables,Sunday,January,Q1,1st sem.
316.04,2000-01-02,Espresso Machine,Gadget Galaxy,Japan,Asia,John Smith,Kitchen Appliances,Sunday,January,Q1,1st sem.
673.8,2000-01-02,Tablet Alpha,NextGen Innovators,France,Europa,Joseph Taylor,Mobile Devices,Sunday,January,Q1,1st sem.
614.56,2000-01-02,Virtual Reality Headset,SysTech Ltd.,Mexico,América,Sandra Anderson,Electronics,Sunday,January,Q1,1st sem.
513.97,2000-01-02,Virtual Reality Headset,Reboot IT,Germany,Europa,Michael Davis,Electronics,Sunday,January,Q1,1st sem.
657.62,2000-01-02,LED Desk Lamp,Infinity Solutions,Brazil,América,Patricia Brown,Lighting,Sunday,January,Q1,1st sem.
973.1,2000-01-03,Dumbbell Set,NextGen Innovators,France,Europa,Linda Miller,Fitness Equipment,Monday,January,Q1,1st sem.
781.94,2000-01-04,Notebook Professional,Innovate Unlimited,USA,América,Sarah Moore,Computers,Tuesday,January,Q1,1st sem.
294.15,2000-01-05,Biography Book,Infinity Solutions,Italy,Europa,Joseph Taylor,Books,Wednesday,January,Q1,1st sem.
622.59,2000-01-05,Tablet Alpha,Nebula Innovations,Nigeria,África,Laura Adams,Mobile Devices,Wednesday,January,Q1,1st sem.
224.57,2000-01-05,Air Purifier,Elite Tech,Mexico,América,Patricia Brown,Home Appliances,Wednesday,January,Q1,1st sem.
971.63,2000-01-05,Wall Art,Global Corp,India,Asia,Joseph Taylor,Home Decor,Wednesday,January,Q1,1st sem.
975.01,2000-01-06,Noise Cancelling Headphones,Reboot IT,Spain,Europa,William Wilson,Audio Equipment,Thursday,January,Q1,1st sem.
188.62,2000-01-06,Fitness Tracker,SysTech Ltd.,China,Asia,Sandra Anderson,Wearables,Thursday,January,Q1,1st sem.
339.59,2000-01-06,Pet Bed,Elite Tech,South Korea,Asia,Patricia Brown,Pet Supplies,Thursday,January,Q1,1st sem.
390.81,2000-01-06,Smart Watch,Reboot IT,France,Europa,Robert Johnson,Wearables,Thursday,January,Q1,1st sem.
300.73,2000-01-06,Monitor 4K,Future Gadgets,Mexico,América,Michael Davis,Monitors,Thursday,January,Q1,1st sem.
640.59,2000-01-06,Desktop Beta,Infinity Solutions,Egypt,África,Michael Davis,Computers,Thursday,January,Q1,1st sem.
363.58,2000-01-07,USB Keyboard,Innovate Unlimited,Mexico,América,Sarah Moore,Computer Accessories,Friday,January,Q1,1st sem.
537.29,2000-01-07,Wireless Mouse,Elite Tech,Mexico,América,Joseph Taylor,Computer Accessories,Friday,January,Q1,1st sem.
474.77,2000-01-08,Men's Sneakers,Pinnacle Tech,USA,América,Patricia Brown,Footwear,Saturday,January,Q1,1st sem.
588.38,2000-01-08,Wall Art,Ultra Tech,Nigeria,África,Robert Johnson,Home Decor,Saturday,January,Q1,1st sem.
305.99,2000-01-08,Tablet Alpha,NextGen Innovators,Egypt,África,Joseph Taylor,Mobile Devices,Saturday,January,Q1,1st sem.
635.13,2000-01-08,Science Fiction Novel,Infinity Solutions,France,Europa,Michael Davis,Books,Saturday,January,Q1,1st sem.
588.67,2000-01-08,Tablet Alpha,Pinnacle Tech,Italy,Europa,John Smith,Mobile Devices,Saturday,January,Q1,1st sem.
651.06,2000-01-08,Decorative Throw Pillow,SysTech Ltd.,Egypt,África,William Wilson,Home Decor,Saturday,January,Q1,1st sem.
872.43,2000-01-08,Women's Sandals,SysTech Ltd.,Canada,América,Sarah Moore,Footwear,Saturday,January,Q1,1st sem.
680.42,2000-01-08,LED Desk Lamp,Pioneer Tech,USA,América,William Wilson,Lighting,Saturday,January,Q1,1st sem.
814.54,2000-01-08,Bluetooth Speaker,Tech Pioneers,Nigeria,África,John Smith,Audio Equipment,Saturday,January,Q1,1st sem.
